service_date,route_id,direction_id,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway
2025-01-02,100,Outbound,65553183.0,52711,welst,1,Startpoint,Schedule,1900-01-01T23:30:00Z,1900-01-01T23:30:44Z,1200.0,
2025-01-02,100,Outbound,65553183.0,8301,elm,5,Endpoint,Schedule,1900-01-01T23:45:00Z,1900-01-01T23:41:29Z,1200.0,
2025-01-02,100,Inbound,65553184.0,8302,elm,1,Startpoint,Schedule,1900-01-01T23:54:00Z,1900-01-01T23:54:58Z,1260.0,
2025-01-02,100,Inbound,65553184.0,52720,welst,5,Endpoint,Schedule,1900-01-02T00:07:00Z,1900-01-02T00:07:54Z,1200.0,
2025-01-02,100,Outbound,65553185.0,52711,welst,1,Startpoint,Schedule,1900-01-02T00:10:00Z,1900-01-02T00:10:16Z,1080.0,
2025-01-02,100,Outbound,65553185.0,8301,elm,5,Endpoint,Schedule,1900-01-02T00:23:00Z,1900-01-02T00:20:56Z,1020.0,
2025-01-02,100,Inbound,65553186.0,8302,elm,1,Startpoint,Schedule,1900-01-02T00:27:00Z,1900-01-02T00:27:22Z,1980.0,
2025-01-02,100,Inbound,65553186.0,52720,welst,5,Endpoint,Schedule,1900-01-02T00:39:00Z,1900-01-02T00:38:08Z,1920.0,
2025-01-02,100,Outbound,65553187.0,52711,welst,1,Startpoint,Schedule,1900-01-02T00:42:00Z,1900-01-02T00:42:36Z,1920.0,
2025-01-02,100,Outbound,65553187.0,8301,elm,5,Endpoint,Schedule,1900-01-02T00:55:00Z,1900-01-02T01:02:32Z,1920.0,
2025-01-02,100,Inbound,65553188.0,8302,elm,1,Startpoint,Schedule,1900-01-02T01:00:00Z,1900-01-02T01:03:16Z,1980.0,
2025-01-02,100,Inbound,65553188.0,52720,welst,5,Endpoint,Schedule,1900-01-02T01:10:00Z,1900-01-02T01:15:24Z,1860.0,
